"","sent_pair_id","verb_id","verb","classification","IO","frequency_rank","diff_avg","diff_gpt2","diff_gpt2_med","diff_gpt2_large","diff_gpt2_xl","mean_z_DOsentence","mean_z_PDsentence","mean_scores_DOsentence","mean_scores_PDsentence","human_zdiff","human_sdiff"
"77",77,177,"telephoned","alternating","longIndefinite",77,0.498887157440186,-0.0895376205444336,-0.13550853729248,-0.13550853729248,-0.13550853729248,0.452575631439093,0.601493416851991,71.15,76.2,0.148917785412898,5.05
"78",78,177,"telephoned","alternating","shortIndefinite",77,0.202232933044434,-0.218687057495117,-0.297096729278564,-0.297096729278564,-0.297096729278564,0.365991841248475,0.621169071287751,67.35,80,0.255177230039276,12.65
"79",79,179,"heaved","alternating","longIndefinite",79,0.960259819030762,0.80812668800354,0.972424983978271,0.972424983978271,0.972424983978271,-0.44103573595899,0.738842063286523,34.85,82.55,1.17987779924551,47.7
"80",80,179,"heaved","alternating","shortIndefinite",79,0.887319278717041,0.827820301055908,0.743334293365479,0.743334293365479,0.743334293365479,0.479039231451108,0.707393082659771,73,83.3913043478261,0.228353851208663,10.3913043478261
"81",81,181,"slung","alternating","longIndefinite",81,1.09063100814819,0.580789566040039,0.86447286605835,0.86447286605835,0.86447286605835,-0.222609559152392,-0.158661893885607,48,48.5,0.0639476652667852,0.5
"82",82,181,"slung","alternating","shortIndefinite",81,0.789674472808838,0.302175521850586,0.67445182800293,0.67445182800293,0.67445182800293,-0.331674980929007,-0.493697375494901,42.45,35.55,-0.162022394565894,-6.90000000000001
"83",83,183,"loaned","alternating","longIndefinite",83,1.2416805267334,0.85162353515625,0.46400785446167,0.46400785446167,0.46400785446167,0.845187521521231,1.13503381993856,89.1304347826087,96.05,0.289846298417327,6.91956521739129
"84",84,183,"loaned","alternating","shortIndefinite",83,0.745034885406494,0.645387649536133,0.618343830108643,0.618343830108643,0.618343830108643,1.11069434552644,1.07193924911554,93.8,93.65,-0.0387550964108943,-0.149999999999991
"85",85,185,"ceded","alternating","longIndefinite",85,1.58271760940552,1.65765905380249,1.74257516860962,1.74257516860962,1.74257516860962,-0.773150639900976,0.308909866745303,28.65,67.4285714285714,1.08206050664628,38.7785714285714
"86",86,185,"ceded","alternating","shortIndefinite",85,1.24842128753662,1.40453386306763,1.38050365447998,1.38050365447998,1.38050365447998,-0.397378121418172,0.333810240543629,39.8,66.2,0.731188361961801,26.4
"87",87,187,"lugged","alternating","longIndefinite",87,1.2120156288147,1.18940258026123,1.32182025909424,1.32182025909424,1.32182025909424,-0.328489913340562,0.790253107466181,43.55,86.304347826087,1.11874302080674,42.754347826087
"88",88,187,"lugged","alternating","shortIndefinite",87,0.97676420211792,0.664906024932861,0.636781215667725,0.636781215667725,0.636781215667725,-0.27053426544221,0.464097070269806,43.7,71.15,0.734631335712016,27.45
"89",89,189,"bused","alternating","longIndefinite",89,0.878464698791504,0.726747035980225,0.727022647857666,0.727022647857666,0.727022647857666,-0.69765762819264,-0.396468246112098,24.5,39.9,0.301189382080543,15.4
"90",90,189,"bused","alternating","shortIndefinite",89,0.791425800323486,0.906744480133057,0.687230110168457,0.687230110168457,0.687230110168457,-0.156698861985018,-0.037971802404051,49.4285714285714,55.15,0.118727059580967,5.72142857142857
"91",91,191,"carted","alternating","longIndefinite",91,1.1580023765564,1.08620262145996,1.06418228149414,1.06418228149414,1.06418228149414,-0.091198073091948,0.659420153182904,50.5,78.55,0.750618226274852,28.05
"92",92,191,"carted","alternating","shortIndefinite",91,1.28970355987549,0.945532321929932,0.874997138977051,0.874997138977051,0.874997138977051,0.120848069587501,0.508035274822222,62.2173913043478,73.35,0.387187205234721,11.1326086956522
"93",93,193,"punted","alternating","longIndefinite",93,0.909191274642944,1.05141162872314,1.38582324981689,1.38582324981689,1.38582324981689,-0.0777949756555848,0.823734048692632,52.35,85.55,0.901529024348217,33.2
"94",94,193,"punted","alternating","shortIndefinite",93,1.05570678710938,1.08636713027954,1.84772109985352,1.84772109985352,1.84772109985352,0.684762604585372,0.975422724895612,79.2,93.0952380952381,0.29066012031024,13.8952380952381
"95",95,195,"bequeathed","alternating","longIndefinite",95,1.0188814163208,1.23739266395569,0.829757690429688,0.829757690429688,0.829757690429688,-0.326559801831118,0.617940976394721,41.9,77.8,0.944500778225839,35.9
"96",96,195,"bequeathed","alternating","shortIndefinite",95,0.564929008483887,0.712495803833008,0.250875473022461,0.250875473022461,0.250875473022461,0.353336817085582,0.481205188880973,66.5,75.3478260869565,0.127868371795391,8.84782608695652
"97",97,197,"cabled","alternating","longIndefinite",97,1.10360040664673,0.689882755279541,0.465747356414795,0.465747356414795,0.465747356414795,-0.547057457584289,-0.615351627483038,33.7142857142857,33.45,-0.068294169898749,-0.264285714285712
"98",98,197,"cabled","alternating","shortIndefinite",97,1.21393518447876,0.577382564544678,0.492279052734375,0.492279052734375,0.492279052734375,-0.567809801248246,-0.700121525388395,31.7,29.55,-0.132311724140149,-2.15
"99",99,199,"catapulted","alternating","longIndefinite",99,0.832045555114746,0.686948299407959,0.538243293762207,0.538243293762207,0.538243293762207,-0.715267814100963,0.718894566954383,29.0434782608696,82.2,1.43416238105535,53.1565217391304
"100",100,199,"catapulted","alternating","shortIndefinite",99,1.1763973236084,1.00100088119507,0.859301090240479,0.859301090240479,0.859301090240479,-0.0460414027269949,0.319504838839211,52.7,64.85,0.365546241566206,12.15
"101",101,1,"said","non-alternating","longIndefinite",1,1.59192943572998,1.57351112365723,1.75960111618042,1.75960111618042,1.75960111618042,-1.1001492486567,0.701501466437009,17.8,82.6666666666667,1.80165071509371,64.8666666666667
"102",102,1,"said","non-alternating","shortIndefinite",1,1.60284080505371,1.95209980010986,2.06572198867798,2.06572198867798,2.06572198867798,-1.04263838982709,0.843863482056185,16.85,84.7,1.88650187188327,67.85
"103",103,3,"reported","non-alternating","longIndefinite",3,1.38046655654907,1.03852844238281,1.7542462348938,1.7542462348938,1.7542462348938,-0.604615037205188,0.532308324918024,35.2,77.6086956521739,1.13692336212321,42.4086956521739
"104",104,3,"reported","non-alternating","shortIndefinite",3,1.81088800430298,1.24344682693481,2.19223070144653,2.19223070144653,2.19223070144653,-0.19966568713286,1.06030144549749,44.25,92.45,1.25996713263035,48.2
"105",105,5,"raised","non-alternating","longIndefinite",5,1.02114734649658,0.894299030303955,0.67676830291748,0.67676830291748,0.67676830291748,-0.829130747532154,0.0455220661516039,18.95,55.55,0.874652813683758,36.6
"106",106,5,"raised","non-alternating","shortIndefinite",5,1.10200996398926,1.0036358833313,1.11852169036865,1.11852169036865,1.11852169036865,-0.632339975243203,0.158300013546628,31.0952380952381,59.75,0.790639988789831,28.6547619047619
"107",107,7,"described","non-alternating","longIndefinite",7,0.359102916717529,0.574958801269531,0.154328346252441,0.154328346252441,0.154328346252441,-0.719057056006625,1.00183734982115,27.75,91.35,1.72089440582778,63.6
"108",108,7,"described","non-alternating","shortIndefinite",7,0.849456977844238,0.813079357147217,1.15324068069458,1.15324068069458,1.15324068069458,-0.198276921723365,0.918078430567708,47.8695652173913,86.95,1.11635535229107,39.0804347826087
"109",109,9,"stated","non-alternating","longIndefinite",9,1.12239933013916,1.13156175613403,1.07417154312134,1.07417154312134,1.07417154312134,-0.707573229768074,0.983064101365188,28.45,90.45,1.69063733113326,62
"110",110,9,"stated","non-alternating","shortIndefinite",9,1.49899120330811,1.39331865310669,1.71051549911499,1.71051549911499,1.71051549911499,-0.839532065282496,0.861651110407352,25,89.3333333333333,1.70118317568985,64.3333333333333
